altid,title,content
eb847f608619,Eminem beats Elvis to number one," Rapper Eminem has denied Elvis his fourth number one of the year, after his song, Like Toy Soldiers, stormed to the top of the singles charts.  The track claimed the top spot ahead of The King's latest re-release, Are You Lonesome Tonight. It is the fifth in a series of 18 reissues to mark the 70th anniversary of Presley's birth. Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, went in at number three.  Like Toy Soldiers, from Eminem's Encore album, is sampled from Martika's 1980s hit Toy Soldiers. It takes a swipe at hip-hop feuds and follows the success of Just Lose It. Last week's number one, Elvis's It's Now or Never, slipped 13 places to number 14, but all five of his re-released songs are in the Top 40. One World Project Tsunami fundraiser, Grief Never Grows Old, slipped four places to number eight. Featuring Cliff Richard and Boy George, the song was written by former DJ Mike Read. In the album charts, Athlete's latest offering Tourist claimed the top spot, toppling the Chemical Brother's Push The Button Down, which fell to number six."
eb463fa57b3d,Rapper 50 Cent ends protege feud," Rapper 50 Cent has ended his public feud with his protege The Game as the pair said they wanted to be good role models for their communities.  The row blew up when 50 Cent threw The Game out of his G-Unit crew and accused him of being disloyal. A member of The Game's entourage was reportedly shot outside a radio station where 50 Cent was being interviewed. But the pair shook hands as they handed over money to music projects for New York's deprived areas on Wednesday.  The Game, whose real name is Jayceon Taylor, told a news conference: ""I want to apologise. I'm almost ashamed to have participated in the things that went on over the last few weeks."" Chart-topper 50 Cent, real name Curtis Jackson, said the truce came on the anniversary of the death of the Notorious BIG in 1997, who was part of a volatile feud between the east and west coast rap scenes. ""We're here today to show that people can rise above the most difficult circumstances and together we can put negativity behind us,"" 50 Cent said.  ""A lot of people don't want to see it happen, but we're responding to the two most important groups - our family and our fans."" The Boys Choir of Harlem got a cheque for $150,000 (£77,800) from 50 Cent, while The Game handed over $103,500 (£53,400). The Game also made a contribution to the Compton schools music programme. 50 Cent announced he has launched the G-Unity Foundation ""to help people overcome obstacles and make a chance for the better in their lives"".  ""I realised that if I'm going to be effective at that, I have to overcome some of my own,"" he said. ""Game and I need to set an example in the community."" 50 Cent is no stranger to feuds, with rapper Ja Rule among the targets for ridicule in his songs. On his latest album, released earlier this month, he turned his attentions to Fat Joe and Nas, who have both worked with Ja Rule. Both he and The Game have admitted drug dealing in the past and have both been shot."
eb68d948bac7,Director Nair's Vanity project," Indian film director Mira Nair has said she was thrilled to be given the chance to make William Makepeace Thackeray's novel Vanity Fair - as the book has been a favourite through her life.  The book is one of the classics of English literature - the story of scheming 19th Century social climber Becky Sharp, played in the film by Reese Witherspoon. Nair said that she jumped at the chance to work on the film, which she has - controversially - made in a Bollywood style, including two song-and-dance routines in the film's second half. ""It was serendipity really - I was offered Vanity Fair by the studio Focus Features, who had distributed Monsoon Wedding,"" Nair told BBC World Service's Masterpiece programme. ""They offered me their next-best thing, not realising that Vanity Fair had actually been one of my favourite novels since I was 16 years old in an Irish Catholic boarding school in India.""  Since her 1988 debut feature Salaam Bombay! - nominated for the Best Foreign Language Oscar and winner of Best First Feature at Cannes - Nair has become one of India's most famous and respected directors. She is not restricted to Bollywood, however - she followed Salaam Bombay! with Mississippi Masala, starring Denzel Washington, and The Perez Family, her first Hollywood film.  Her career peaked with Monsoon Wedding in 2001, which won the Golden Lion award at Venice. Nair's Indian-style adaptation of Vanity Fair, however, has been attacked by critics in the US - where it only reached number eight at the box office in its opening week - who described the Bollywood elements as ""jarring."" The film has a new ending, with Becky Sharp running off for a new life in India. But Nair said that her film had picked up on the way Thackeray - who was born in India but moved to England as a young man - had seen the world. ""First, when I was 16, it was Becky Sharp, who is a completely memorable character, because I recognised myself in her - I recognised all the ladies who did not want to be ladies, who wanted to buck the system that they were in,"" she said. ""But it was the sort of novel I somehow kept at the side of my bed for many years, and I would dip into every now and then and suddenly get completely mesmerised again. ""As I got older and read it, I think it was Thackeray's clarity - his clear-sightedness about his own society, the fact that he was born in India but came to England as a young man - that gave him the eyes of an outsider, and yet he was an insider. ""That perspective was something I really loved.""  Nair also defended her decision to cast an American actress - Reese Witherspoon - as Becky Sharp, despite the fact that all the rest of the cast are British or Irish. ""I cast intuitively - in my films I cast as many non-actors as I cast actors,"" she said. ""For me, it is intuition - I have to fall in love with an actor. It is a visceral response.  ""Thackeray describes Becky Sharp as a minx. Also she's described as someone who's tiny, red-headed and thin. Reese had that completely minx-like irresistibility about her."" Having won the role because she seemed physically perfectly suited to the part, however, Witherspoon then became pregnant. But Nair said that, though this had created the need for some filming tricks, it had in fact also helped the film. ""It was a self-fulfilling prophesy - when I first met her husband [actor Ryan Philippe], I said 'knock her up, won't you, I need some flesh on the girl',"" she joked. ""I'm not a fan of the underfed Los Angeles actor at all. This was, for me, about Becky Sharp being, eventually, a full-blown woman through the course of the film. ""I love the luminosity that pregnancy brings, I love the fleshiness, I love the ample bosom - it gave me much more to play with."" Nair explained how camera tricks had been used to disguise Witherspoon's ""bump"" in various scenes - including hiring a number of young boys in costumes to stand in front of her. ""She runs, she gets off coal carts, she jumps off horses - she does everything,"" Nair said. ""But there's also a certain carriage with horses that is going to wipe the screen at a certain moment, because of the bump."""
tb74d17882b9,Fast lifts rise into record books," Two high-speed lifts at the world's tallest building have been officially recognised as the planet's fastest.  The lifts take only 30 seconds to whisk passengers to the top of the 508m tall TFC 101 Tower in Taipei, Taiwan. The Guinness Book of Records has declared the 17m per second speed of the two lifts the swiftest on Earth. The lifts also have a pressure control system to stop passengers' ears popping as they ascend and descend at high speed.  In total, the TFC Tower has 61 lifts, 34 of them double-deckers, and 50 escalators to shuttle people around its 106 floors. The TFC 101 Tower is due to be officially opened on 31 December.  The super-fast lifts can speed up to 24 passengers to the tip of the tower in about 30 seconds, while ascending their 382m track. The 17m/s top speed of the lifts translates to about 38mph (61km/h). Curiously the lifts take longer to descend and spend almost a whole minute returning to ground level from the top of the TFC Tower. The key new technologies applied in the world's fastest elevators include:    - A pressure control system, which adjusts the atmospheric pressure inside a car by using suction and discharge blowers, preventing ""ear popping""   - An active control system which tries to balance the lift more finely and remove the sources of vibrations   - Streamlined cars to reduce the whistling noise produced by running the lifts at a high speed inside a narrow shaft     ""The certification of our elevators as world record-holders by the authoritative Guinness World Records is a great honour for us,"" said Masayuki Shimono, president of manufacturer Toshiba Elevator and Building Systems which installed the lifts. The first record for the world's fastest passenger elevators was published in the first edition of the Guinness Book of Records in 1955. ""As such, it is an interesting indicator of how technology has advanced in the 50 years since that first edition, when the record was 426m per minute, or 25.6 km/h, less than half the speed of the new record,"" said Hein Le Roux, specialist researcher at the Guinness World Records. Taipei's TFC 101 Tower is more than 50m taller than the Petronas Towers in Kuala Lumpur, Malaysia - formerly the world's tallest skyscraper."
sb99d0db3fc7,GB quartet get cross country call," Four British athletes have been pre-selected to compete at the World Cross Country Championships in March after impressive starts to the season.  Hayley Yelling, Jo Pavey, Karl Keska and Adam Hickey will represent Team GB at the event in France. Yelling clinched the women's European cross country title last month and Pavey followed up with bronze. Keska helped the men's team to overall third place while Hickey finished in 10th place on his junior debut. ""Winning the European cross country title meant so much to me,"" said Yelling. ""And being pre-selected for the Worlds means that I can focus on preparing in the best way possible."" The 32-year-old will race alongside Olympic 5,000m finalist Pavey in the women's 8km race on 19 March. Keska, who has made a successful return from a long-term injury lay-off, contests the men's 12km race on 20 March, while 16-year-old Hickey goes in the junior men's 8km on the same day. The rest of the team will be named after the trials at Wollaton Park in Nottingham, which take place on 5 March."
eb783a0ce42c,Ray DVD beats box office takings," Oscar-nominated film biopic Ray has surpassed its US box office takings with a combined tally of $80m (£43m) from DVD and video sales and rentals.  Ray's success on DVD outstripped its $74m (£40m) US box office total, earning more than $40m (£22m) on the first day of the DVD's release alone. Ray has been nominated in six Oscar categories including best film and best actor for Jamie Foxx. The film recounts the life of blues singer Ray Charles, who died in 2004. In its first week on home entertainment release the film was the number one selling DVD, with the limited edition version coming in at number 11. Sony horror film The Grudge, starring Michelle Gellar, was the US' second best-selling DVD, with Jennifer Lopez and Richard Gere's romantic comedy Shall We Dance? at number three. Foxx's critically acclaimed performance as Ray has already earned him a Screen Actors Guild Award for best actor, as well as a prestigious Golden Globe. Ray director Taylor Hackford, responsible for the classic 1982 film An Officer and a Gentleman, has also received an Oscar nomination in the best director category. The film's three other Oscar nominations are for costume, film editing and sound mixing."
ebf8d6ba37bb,Singer Ferguson 'facing eviction'," Three Degrees star Sheila Ferguson is the favourite to be evicted from ITV's I'm A Celebrity... Get Me Out Of Here on Monday.  Bookmakers Ladbrokes says the singer has even odds of being the first contestant to be voted off the show. ""It's going to be close but Sheila is favourite as she has shown herself to be a bit of a troublemaker,"" said Ladbrokes' Warren Lush. Comic Joe Pasquale remains odds on favourite to win the reality show. Mr Lush added that Nancy Sorrell's chances of an early departure had increased since the surprise arrival of husband Vic Reeves in the jungle camp last Wednesday. Notwithstanding, comedian Reeves remains 3/1 favourite to win the show, after Pasquale.  Huggy Bear actor Antonio Fargas also remains a contender for eviction having ""done nothing to live up to the pre-show hype"". ""There has been a big gamble on Natalie [Appleton] to go... but bookies fancy the millions at home will keep piling on the misery by putting her through more bushtucker trials,"" added Mr Lush. The former All Saint star has performed dismally in bushtucker trials which have seen her plunged into glass tanks containing putrid waste and challenged to eat fish eyes. On Friday, Ladbrokes suspended betting after singer Brian Harvey quit the show folllowing a blazing row with Janet Street-Porter. Harvey, who entered the camp a day later than other contestants after learning that his grandmother had died, reached the end of his tether following days of meagre rations and rows."
ebd86ec9d246,Sir Paul rocks Super Bowl crowds," Sir Paul McCartney wowed fans with a live mini-concert at American football's Super Bowl - and avoided any Janet Jackson-style controversies.  The 62-year-old sang Hey Jude and other Beatles songs in a 12-minute set at half-time during the game in Florida. Last year, Jackson exposed a breast during a dance routine, causing outrage among millions of TV viewers and landing the CBS TV network a fine. Sir Paul, however, did nothing more racy than remove his jacket as he sang. Organisers were widely considered to be playing it safe this year by booking 62-year-old Sir Paul for his second Super Bowl show.  Three years ago, he was invited to perform at the first Super Bowl after the September 11 attacks and performed his specially-written song Freedom. This time, he started off the show, at the Alltel Stadium in Jacksonville, Florida, with the Beatles numbers Drive My Car and Get Back. He then performed a mellow version of Live And Let Die, the James Bond theme he recorded with the band Wings. Finally, he closed the show with a rousing version of Hey Jude. The former Beatle resisted any temptation to refer to Janet Jackson's headline-grabbing performance last year, instead keeping banter between songs to a minimum in order to squeeze as much music as he could into his slot. The singer removed his black jacket halfway through the show - but any fans hoping for a second ""Nipple-gate"" were to be disappointed as he kept his red sweatshirt on underneath.  Earlier, the Black Eyed Peas and Alicia Keys had provided the night's other high-profile entertainment by performing in a pre-game show. Black Eyed Peas singer Fergie was dressed in a tight orange top and purple hotpants, but nothing in her performance was likely to upset TV watchdogs. After the controversy last year - which saw CBS fined a record $550,000 (£292,000) by federal regulators - Super Bowl organisers had turned to producer Don Mischer to oversee this year's half-time show. His previous production credits included Olympic opening and closing ceremonies. The Super Bowl is watched by an audience of 144.4 million in the US, with many of the people watching are said to tune in specifically to see the entertainment put on around the event. Michael Jackson, Aerosmith, Diana Ross, Gloria Estefan and Phil Collins are among the stars who have previously graced the Super Bowl stage."
sbcc76d4534d,Dementieva prevails in Hong Kong," Elena Dementieva swept aside defending champion Venus Williams 6-3 6-2 to win Hong Kong's Champions Challenge event.  The Russian, ranked sixth in the world, broke Williams three times in the first set, while losing her service once. Williams saved three championship points before losing the match at the Victoria Park tennis court. ""It's really a great start to the year no matter whether it's an exhibition or not. I was trying to play my best and I really did it,"" said Dementieva. ""This will give me all the confidence before the Grand Slams. I was trying so hard to win this tournament."" Williams, 24, was disappointed with her display. ""She played some nice points, but it was mostly me committing unforced errors - four or five errors in each game,"" she said. Before the match, organizers auctioned off rackets belonging to the players, raising £115,000 for victims of the tsunami disaster."
sb1607c524aa,Radcliffe proves doubters wrong," This won't go down as one of the greatest marathons of Paula's career. But as a test of character, it was the toughest race she's ever taken part in.  A win in the New York marathon doesn't make up for the disappointment of Athens in any shape or form, but it will offer hope and reassurance for next year. If Paula's last experience of the year had been Athens, it would have been very difficult to look forward with any optimism. She can now draw a line under this year and make plans about her future. Even if she'd lost this race, there would have been a lot of positives to take out of it. She knows she can dig deep if she needs to. It was a strong field, with a number of the girls going into the race with expectations of winning. And although two hours 23 minutes wasn't one of Paula's best times, it wasn't far off the record on a difficult course.  I was speaking to Paula in the lead-up to this race and she said that in many ways she was facing a no-win situation. She thought that if she won, people would say ""why couldn't she do that in Athens?"" And if she lost, people would say her career was over. And a lot of people were wondering what would happen if Paula was forced to drop out of this race, as she did in the marathon and 10,000m in Athens. But that was never on the cards. She might have been beaten, but she would have kept running. The reasons she was forced to pull out in Athens - the niggling injuries, her lack of energy and the oppressive conditions - weren't at play here. The only question was what position she could finish in. Most important of all, despite all the hype in the media ahead of this race, there were never doubts in Paula's mind. If she wasn't confident, she wouldn't have run. After all, if you're the best in the world at an event, you'll always have expectations of winning.  Now Paula will take part in the Run London 10km race in London at the end of the year, have a well-earned rest over Christmas and go into next year with a lot of optimism."
sc317737dc84,Wenger rules out new keeper," Arsenal boss Arsene Wenger says he has no plans to sign a new goalkeeper during the January transfer window.  Wenger has brought in Manuel Almunia for the last three games for the out-of-form Jens Lehmann - but the Spaniard himself has been prone to mistakes. There have been suggestions that Wenger will swoop for a high-quality shot-stopper in the New Year. But he told the Evening Standard: ""I don't feel it will be necessary to bring in a new goalkeeper in January."" The Gunners manager refused to comment on the difficult start that 27-year-old Almunia has made to his career at Highbury. And he would not be drawn on whether Lehmann would return for the top-of-the table clash with Chelsea on Sunday.  Almunia was at fault for Rosenborg's goal in Arsenal's 5-1 Champions League win on Tuesday and had some hairy moments in last week's win over Birmingham. But Wenger said earlier this week that his indifferent form was down to pressure caused by being under scrutiny from the media. ""The debate has gone on too long. Everyone has an opinion and I do not have to add to it,"" Wenger added. Arsenal have been linked with Middlesbrough keeper Mark Schwarzer, Fulham's Edwin van der Sar and Parma's Sebastien Frey. And Wenger has no immediate plans to recall former England Under-21 international Stuart Taylor from his loan spell at Leicester."
